Friendly Name,Type,Ritual ID,Result Kind,Result ID,Discovery ID,Component1,Component2,Component3,Codex Hint 1,Codex Hint 2,Unlock text,Assets Folder,Placement Rules
Tiny Shrine,Structure,ritual_tiny_shrine,form,form_tiny_shrine,disc_tiny_shrine,Living Wood,Ku Essence,,A small shrine is not small to a spirit that has nowhere to bow.,"Return with Ku Essence and Living Wood to open a small ritual marker.",Shapes a Tiny Shrine for deeper visitor and ritual hints.,assets/structures/tiny_shrine,Meadow=building_tiny_shrine; Cloud Ridge=building_tiny_shrine
Steam Weave,Structure,ritual_steam_weave,form,form_steam_weave,disc_steam_weave,Reed Fiber,Fire Essence,,A reed can hold warmth without becoming ash.,"Harvest Reed Fiber, then shape it with Fire Essence.",Shapes a Steam Weave for Fire and Water tension hints.,assets/structures/steam_weave,River=building_steam_weave; Wetlands=building_steam_weave; Moonlit Pool=building_steam_weave; Prismatic Terraces=building_steam_weave; Frostlands=building_steam_weave
Reed Nest,Structure,ritual_reed_nest,form,form_reed_nest,disc_reed_nest,Reed Fiber,Water Essence,,A reed bends so another may rest.,"Harvest Reed Fiber from River, Wetlands or Moonlit Pool, then shape it with Water Essence.",Shapes a Reed Nest form that becomes a water dwelling when placed in a rain biome.,assets/structures/reed_nest,River=building_reed_nest; Wetlands=building_reed_nest; Moonlit Pool=building_reed_nest
Reed Mat,Structure,ritual_reed_mat,form,form_reed_mat,disc_reed_mat,Reed Fiber,Earth Essence,,Soft ground becomes kind when it learns where feet will fall.,"Harvest Reed Fiber, then shape it with Earth Essence.",Shapes a Reed Mat that stabilizes wet edges.,assets/structures/reed_mat,River=building_reed_mat; Wetlands=building_reed_mat; Moonlit Pool=building_reed_mat; Prismatic Terraces=building_reed_mat; Frostlands=building_reed_mat
Reed Flute,Structure,ritual_reed_flute,form,form_reed_flute,disc_reed_flute,Reed Fiber,Wind Essence,,A hollow reed is not empty. It is waiting for breath.,"Harvest Reed Fiber, then shape it with Wind Essence.",Shapes a Reed Flute that improves Water and Wind invitation paths.,assets/structures/reed_flute,River=building_reed_flute; Wetlands=building_reed_flute; Moonlit Pool=building_reed_flute; Prismatic Terraces=building_reed_flute; Frostlands=building_reed_flute
Dream Hammock,Structure,ritual_dream_hammock,form,form_dream_hammock,disc_dream_hammock,Reed Fiber,Ku Essence,,Sleep is a bridge when the mist chooses to hold it.,"Return with Ku Essence and Reed Fiber to shape a dream path.",Shapes a Dream Hammock for memory and Mist Thread paths.,assets/structures/dream_hammock,River=building_dream_hammock; Wetlands=building_dream_hammock; Moonlit Pool=building_dream_hammock; Frostlands=building_dream_hammock
Hearth Stone,Structure,ritual_hearth_stone,form,form_hearth_stone,disc_hearth_stone,Spirit Stone,Fire Essence,,Stone remembers heat after flame has moved on.,"Harvest Spirit Stone, then shape it with Fire Essence.",Shapes a Hearth Stone that increases Ember Clay storage.,assets/structures/hearth_stone,Stone=building_hearth_stone; Sacred Stone=building_hearth_stone; Badlands=building_hearth_stone; Whistling Canyons=building_hearth_stone; Ember Field=building_hearth_stone
Stone Basin,Structure,ritual_stone_basin,form,form_stone_basin,disc_stone_basin,Spirit Stone,Water Essence,,Water rests more deeply when stone agrees to hold it.,"Harvest Spirit Stone from stone biomes, then shape it with Water Essence.",Shapes a Stone Basin form that calms and anchors Rain Island water.,assets/structures/stone_basin,River=building_stone_basin; Wetlands=building_stone_basin; Moonlit Pool=building_stone_basin
Foundation Marker,Structure,ritual_foundation_marker,form,form_foundation_marker,disc_foundation_marker,Spirit Stone,Earth Essence,,A foundation is a promise the island can stand on.,"Harvest Spirit Stone, then shape it with Earth Essence.",Shapes a Foundation Marker that increases Spirit Stone storage.,assets/structures/foundation_marker,Stone=building_foundation_marker; Sacred Stone=building_foundation_marker; Badlands=building_foundation_marker; Whistling Canyons=building_foundation_marker
Resonance Cairn,Structure,ritual_resonance_cairn,form,form_resonance_cairn,disc_resonance_cairn,Spirit Stone,Wind Essence,,Wind circles stone until distance learns to listen.,"Harvest Spirit Stone, then shape it with Wind Essence.",Shapes a Resonance Cairn for soft connection patterns.,assets/structures/resonance_cairn,Stone=building_resonance_cairn; Sacred Stone=building_resonance_cairn; Badlands=building_resonance_cairn; Whistling Canyons=building_resonance_cairn
Rune Marker,Structure,ritual_rune_marker,form,form_rune_marker,disc_rune_marker,Spirit Stone,Ku Essence,,A marked stone is a boundary that has learned its name.,"Return with Ku Essence and Spirit Stone to shape a named boundary.",Shapes a Rune Marker for seal and memory rituals.,assets/structures/rune_marker,Stone=building_rune_marker; Sacred Stone=building_rune_marker
Kiln Heart,Structure,ritual_kiln_heart,form,form_kiln_heart,disc_kiln_heart,Ember Clay,Fire Essence,,Clay remembers fire and teaches warmth to stay.,"Harvest Ember Clay, then shape it with Fire Essence.",Shapes a Kiln Heart that speeds nearby Ember Clay generation.,assets/structures/kiln_heart,Ember Field=building_kiln_heart; Ember Shrine=building_kiln_heart; The Ashfall=building_kiln_heart
Steam Bowl,Structure,ritual_steam_bowl,form,form_steam_bowl,disc_steam_bowl,Ember Clay,Water Essence,,Boiling is not anger when the bowl knows patience.,"Harvest Ember Clay, then shape it with Water Essence.",Shapes a Steam Bowl for recovery and Rain-Fire tension paths.,assets/structures/steam_bowl,Ember Field=building_steam_bowl; Ember Shrine=building_steam_bowl; The Ashfall=building_steam_bowl; Prismatic Terraces=building_steam_bowl
Clay Anchor,Structure,ritual_clay_anchor,form,form_clay_anchor,disc_clay_anchor,Ember Clay,Earth Essence,,Warmth stays gentle when earth gives it a shape.,"Harvest Ember Clay, then shape it with Earth Essence.",Shapes a Clay Anchor that stabilizes heated structures.,assets/structures/clay_anchor,Ember Field=building_clay_anchor; Ember Shrine=building_clay_anchor; The Ashfall=building_clay_anchor; Badlands=building_clay_anchor
Ember Bellows,Structure,ritual_ember_bellows,form,form_ember_bellows,disc_ember_bellows,Ember Clay,Wind Essence,,Wind does not only scatter flame. It can teach it to breathe.,"Harvest Ember Clay, then shape it with Wind Essence.",Shapes Ember Bellows for Fire production cycles.,assets/structures/ember_bellows,Ember Field=building_ember_bellows; Ember Shrine=building_ember_bellows; The Ashfall=building_ember_bellows
Moonflame,Structure,ritual_moonflame,form,form_moonflame,disc_moonflame,Ember Clay,Ku Essence,,A moonlit ember burns without needing to devour.,"Return with Ku Essence and Ember Clay to shape sacred fire.",Shapes a Moonflame for blessing and Ash Silk paths.,assets/structures/moonflame,Ember Shrine=building_moonflame; The Ashfall=building_moonflame
